Num,Name,Types,HP,Attack
1,bulbasaur,Grass,45,49
2,ivysaur,Grass,60,62
3,venusaur,Grass,80,82
4,charmander,Fire,80,100
5,charmeleon,Fire,39,52
6,charizard,Fire,58,64
7,squirtle,Water,78,84
8,wartortle,Water,78,130
9,blastoise,Water,78,104
10,caterpie,Bug,44,48
11,metapod,Bug,59,63
12,butterfree,Bug,79,83
13,weedle,Bug,79,103
14,kakuna,Bug,45,30
15,beedrill,Bug,50,20
16,pidgey,Normal,60,45
17,pidgeotto,Normal,40,35
18,pidgeot,Normal,45,25
19,rattata,Normal,65,90
20,raticate,Normal,65,150
21,spearow,Normal,40,45
22,fearow,Normal,63,60
23,ekans,Poison,83,80
24,arbok,Poison,83,80
25,pikachu,Electric,30,56
26,raichu,Electric,55,81
27,sandshrew,Ground,40,60
28,sandslash,Ground,65,90
29,nidoran_f,Poison,35,60
30,nidorina,Poison,60,85
31,nidoqueen,Poison,35,55
32,nidoran_m,Poison,60,90
33,nidorino,Poison,50,75
34,nidoking,Poison,75,100
35,clefairy,Normal,55,47
36,clefable,Normal,70,62
37,vulpix,Fire,90,92
38,ninetales,Fire,46,57
39,jigglypuff,Normal,61,72
40,wigglytuff,Normal,81,102
41,zubat,Poison,70,45
42,golbat,Poison,95,70
43,oddish,Grass,38,41
44,gloom,Grass,73,76
45,vileplume,Grass,115,45
46,paras,Bug,140,70
47,parasect,Bug,40,45
48,venonat,Bug,75,80
49,venomoth,Bug,45,50
50,diglett,Ground,60,65
51,dugtrio,Ground,75,80
52,meowth,Normal,35,70
53,persian,Normal,60,95
54,psyduck,Water,60,55
55,golduck,Water,70,65
56,mankey,Fighting,10,55
57,primeape,Fighting,35,80
58,growlithe,Fire,40,45
59,arcanine,Fire,65,70
60,poliwag,Water,50,52
61,poliwhirl,Water,80,82
62,poliwrath,Water,40,80
63,abra,Psychic,65,105
64,kadabra,Psychic,55,70
65,alakazam,Psychic,90,110
66,machop,Fighting,40,50
67,machoke,Fighting,65,65
68,machamp,Fighting,90,95
69,bellsprout,Grass,25,20
70,weepinbell,Grass,40,35
71,victreebel,Grass,55,50
72,tentacool,Water,55,50
73,tentacruel,Water,70,80
74,geodude,Rock,80,100
75,graveler,Rock,90,130
76,golem,Rock,50,75
77,ponyta,Fire,65,90
78,rapidash,Fire,80,105
79,slowpoke,Water,40,40
80,slowbro,Water,80,70
81,magnemite,Electric,40,80
82,magneton,Electric,55,95
83,farfetchd,Normal,80,120
84,doduo,Normal,50,85
85,dodrio,Normal,65,100
86,seel,Water,90,65
87,dewgong,Water,95,75
88,grimer,Poison,95,75
89,muk,Poison,25,35
90,shellder,Water,50,60
91,cloyster,Water,52,65
92,gastly,Ghost,35,85
93,haunter,Ghost,60,110
94,gengar,Ghost,65,45
95,onix,Rock,90,70
96,drowzee,Psychic,80,80
97,hypno,Psychic,105,105
98,krabby,Water,30,65
99,kingler,Water,50,95
100,voltorb,Electric,30,35
101,electrode,Electric,45,50
102,exeggcute,Grass,60,65
103,exeggutor,Grass,60,65
104,cubone,Ground,35,45
105,marowak,Ground,60,48
106,hitmonlee,Fighting,85,73
107,hitmonchan,Fighting,30,105
108,lickitung,Normal,55,130
109,koffing,Poison,40,30
110,weezing,Poison,60,50
111,rhyhorn,Ground,60,40
112,rhydon,Ground,95,95
113,chansey,Normal,50,50
114,tangela,Grass,60,80
115,kangaskhan,Normal,50,120
116,horsea,Water,50,105
117,seadra,Water,90,55
118,goldeen,Water,40,65
119,seaking,Water,65,90
120,staryu,Water,80,85
121,starmie,Water,105,130
122,mr_mime,Psychic,250,11
123,scyther,Bug,65,55
124,jynx,Ice,105,95
125,electabuzz,Electric,105,125
126,magmar,Fire,30,40
127,pinsir,Bug,55,65
128,tauros,Normal,45,67
129,magikarp,Water,80,92
130,gyarados,Water,30,45
131,lapras,Water,60,75
132,ditto,Normal,40,45
133,eevee,Normal,70,110
134,vaporeon,Water,65,50
135,jolteon,Electric,65,83
136,flareon,Fire,65,95
137,porygon,Normal,65,125
138,omanyte,Rock,65,155
139,omastar,Rock,75,100
140,kabuto,Rock,20,21
141,kabutops,Rock,95,125
142,aerodactyl,Rock,95,155
143,snorlax,Normal,130,85
144,articuno,Ice,48,48
145,zapdos,Electric,55,55
146,moltres,Fire,130,65
147,dratini,Dragon,65,65
148,dragonair,Dragon,65,130
149,dragonite,Dragon,65,60
150,mewtwo,Psychic,35,40
151,mew,Psychic,70,60
